variant,basin_id,component,mean_component_discharge,component_weight,component_contribution_to_final_q,collapsed_near_zero,dominates_basin,mean_channel_loss_component,mean_gate_loss_component
Model6PhysicalFix_A_explicit_gate,1162500,2,1.227144479751587,0.18745100498199463,0.16335910558700562,False,False,0.02505803108215332,0.0019227337324991822
Model6PhysicalFix_A_explicit_gate,1162500,3,2.1971404552459717,0.12706692516803741,0.2924882769584656,False,False,0.053814515471458435,0.007376328110694885
Model6PhysicalFix_A_explicit_gate,1162500,4,2.13075852394104,0.4586537778377533,0.28365689516067505,False,False,0.04944131150841713,0.004399407655000687
Model6PhysicalFix_A_explicit_gate,1169000,1,2.2747278213500977,0.12057143449783325,0.25678330659866333,False,False,0.01039569079875946,0.04845282435417175
Model6PhysicalFix_A_explicit_gate,1169000,2,1.9190937280654907,0.17082372307777405,0.21663683652877808,False,False,0.0477025993168354,0.003517324337735772
Model6PhysicalFix_A_explicit_gate,1169000,3,2.3688151836395264,0.2281370759010315,0.26740407943725586,False,False,0.008320766501128674,0.0069375173188745975
Model6PhysicalFix_A_explicit_gate,1169000,4,2.2957630157470703,0.4804677665233612,0.2591628432273865,False,False,0.014704891480505466,0.00426881480962038
Model6PhysicalFix_A_explicit_gate,1170100,1,2.1939423084259033,0.11428555101156235,0.25645342469215393,False,False,0.01168051641434431,0.04700612649321556
Model6PhysicalFix_A_explicit_gate,1170100,2,1.7230886220932007,0.14123545587062836,0.20141366124153137,False,False,0.031316127628088,0.0028809313662350178
Model6PhysicalFix_A_explicit_gate,1170100,3,2.397320032119751,0.21601049602031708,0.2802264094352722,False,False,0.01673087105154991,0.008014693856239319
Model6PhysicalFix_A_explicit_gate,1170100,4,2.240433931350708,0.5284684300422668,0.2618923485279083,False,False,0.009239217266440392,0.004463946912437677
Model6PhysicalFix_A_explicit_gate,1181000,1,2.298386335372925,0.10138894617557526,0.256780743598938,False,False,0.012925467453897,0.05880061537027359
Model6PhysicalFix_A_explicit_gate,1181000,2,2.115006685256958,0.10543420165777206,0.23629261553287506,False,False,0.054057925939559937,0.004781425930559635
Model6PhysicalFix_A_explicit_gate,1181000,3,2.351344347000122,0.29388731718063354,0.2626967132091522,False,False,0.017121676355600357,0.007848774082958698
Model6PhysicalFix_A_explicit_gate,1181000,4,2.185882091522217,0.49928951263427734,0.24421554803848267,False,False,0.018758000805974007,0.00447319820523262
Model6PhysicalFix_A_explicit_gate,1187300,1,2.429636240005493,0.11461059749126434,0.26230388879776,False,False,0.008580546826124191,0.0611494742333889
Model6PhysicalFix_A_explicit_gate,1187300,2,2.1322288513183594,0.08754543960094452,0.2301952987909317,False,False,0.03850268945097923,0.00453158188611269
Model6PhysicalFix_A_explicit_gate,1187300,3,2.3566370010375977,0.37019386887550354,0.25442197918891907,False,False,0.017109861597418785,0.006532906088978052
Model6PhysicalFix_A_explicit_gate,1187300,4,2.3440170288085938,0.42765000462532043,0.25306436419487,False,False,0.017857402563095093,0.004170723259449005
Model6PhysicalFix_A_explicit_gate,1195100,1,2.2189114093780518,0.08131993561983109,0.27450594305992126,False,False,0.01292254589498043,0.06483307480812073
Model6PhysicalFix_A_explicit_gate,1195100,2,1.7695151567459106,0.08539818972349167,0.21890968084335327,False,False,0.0698651671409607,0.00457551097497344
Model6PhysicalFix_A_explicit_gate,1195100,3,2.1476659774780273,0.21353290975093842,0.2656916081905365,False,False,0.07541598379611969,0.00839557871222496
