variant,basin_id,NSE,KGE,R2,FLV,FHV,low_flow_NSE,high_flow_NSE,bias,runoff_ratio_bias,observed_mean_q,simulated_mean_q,sim_obs_q_ratio,precip_runoff_ratio_obs,precip_runoff_ratio_sim,ET_P_ratio,extreme_channel_loss_flag,extreme_groundwater_loss_flag,near_zero_sim_discharge_wet_flag,lat,lon,area_km2,mean_abs_water_balance_error_mm_day,relative_error
Model6PhysicalFix_B_soft_gate,10258500,-1.0798757076263428,-0.8607787502543738,0.5973046116727301,,39.36436465884845,,-1.0798757076263428,0.0395917072892189,1.5165993606000971,0.02610558457672596,0.06569729745388031,2.516599360600097,27.980397231511137,11.118336796517784,0.7653682963688493,False,False,False,33.74502,-116.53557,241.51,0.018448734655976295,0.02525685404175914
Model6PhysicalFix_B_soft_gate,7301500,-1.0677204132080078,0.03633277891095377,0.3330831520473061,86.6172153414381,-26.74811285509627,-33.07698059082031,-1.5323336124420166,0.021687820553779602,0.44663195613053036,0.04855860397219658,0.07024642825126648,1.4466319561305303,35.733427727953085,24.70111738620972,0.8095416829222144,False,False,False,35.16811,-99.50731,6885.07,0.02793125994503498,0.016097174867988517
Model6PhysicalFix_B_soft_gate,10310500,-0.9122649431228638,-0.13720598827586294,0.7203761295217223,16.469663402979382,132.32986880900654,-3.03877592086792,-2.001168727874756,0.03623690456151962,0.09842065251247023,0.36818432807922363,0.40442126989364624,1.0984206525124702,4.1398545067178905,3.7689153478795103,0.46985874361119984,False,False,False,39.11324,-119.79824,39.49,0.029002897441387177,0.019027906155676472
Model6PhysicalFix_B_soft_gate,6431500,-0.8405661582946777,-0.08336157659245469,0.694428317261132,-11.085128722235469,65.56030496736349,-12.477164268493652,-2.4395902156829834,0.014964421279728413,0.03556548910223742,0.42075708508491516,0.4357215166091919,1.0355654891022374,4.769344622850597,4.6055463772139875,0.5529080321477048,False,False,False,44.48248,-103.86159,427.1,0.03090609982609749,0.015401181662012818
Model6PhysicalFix_B_soft_gate,7208500,-0.6415261030197144,-0.16495250443890708,0.6146827581715141,7.404324344683284,-0.22833886287959246,-41.88812255859375,-1.334829330444336,0.156050443649292,0.8457660285686365,0.184507817029953,0.340558260679245,1.8457660285686366,8.743776658246636,4.737207540217902,0.6233157551782678,False,False,False,36.37226,-104.97,159.22,0.04481908679008484,0.02778108374783707
Model6PhysicalFix_B_soft_gate,1466500,-0.5700975656509399,0.21908183387869207,0.5588390478805889,-58.178529693596175,17.474690354379643,-11.508914947509766,-1.087609052658081,0.29619213938713074,0.3360230789969321,0.8814639449119568,1.1776561737060547,1.336023078996932,4.1693281703383915,3.1207008680635697,0.46457215322182177,False,True,False,39.885,-74.50528,5.38,0.15009929239749908,0.0408420955532522
Model6PhysicalFix_B_soft_gate,2235200,-0.48371660709381104,0.18937151586590806,0.5509584234935498,-128.2000853148113,108.9333089092031,-55.72837448120117,-1.667443037033081,0.07614225894212723,0.14605070948901905,0.5213407874107361,0.5974829792976379,1.146050709489019,7.0876861476244155,6.184443179594389,0.6111586022747587,False,True,False,28.87453,-81.48938,297.7,0.12946566939353943,0.03503712518948363
Model6PhysicalFix_B_soft_gate,9404450,-0.47825193405151367,0.16414955611637605,0.563311335725382,-137.37989724368055,1.3352535520835693,-16.066940307617188,-0.7244211435317993,0.054227519780397415,0.3218837051696203,0.16846928000450134,0.22269679605960846,1.3218837051696204,7.793506361344692,5.895757657733728,0.6442629821856493,False,False,False,37.33943,-112.60438,192.96,0.037193626165390015,0.028327934942375118
Model6PhysicalFix_B_soft_gate,13083000,-0.4609520435333252,0.019999410501457704,0.8069926735420205,32.21993114396572,21.11479367742155,-11.985965728759766,-1.535383701324463,0.06681802123785019,0.25908891621739116,0.2578962445259094,0.3247143030166626,1.2590889162173913,6.171033467764891,4.901189793162919,0.6127518583209729,False,False,False,42.16583,-113.98361,133.18,0.06611617654561996,0.04154366312324253
Model6PhysicalFix_B_soft_gate,9484600,-0.2966442108154297,0.31815209991528826,0.10303708752253239,74.67307926480282,-91.23191968825084,-4392.62109375,-0.3519551753997803,0.0004841072950512171,0.04090278582148181,0.011835575103759766,0.012319683097302914,1.0409027858214819,99.79058268460986,95.86926271291807,0.8438721645119018,False,False,False,32.03591,-110.67758,1179.59,0.0055192639119923115,0.004673069642727386
Model6PhysicalFix_B_soft_gate,6847900,-0.25858986377716064,0.01908189560099882,0.08736494261021581,50.80294938758607,-65.79229402593911,-221.4141845703125,-0.27030372619628906,0.007512826472520828,0.6715900398516494,0.011186625808477402,0.01869945228099823,1.6715900398516494,136.29384326645487,81.53544782926959,0.8478075833411756,False,False,False,39.76985,-100.10078,1536.19,0.00927593745291233,0.006083905448761974
Model6PhysicalFix_B_soft_gate,4124000,-0.25540268421173096,0.5516667023957451,0.6462809133006021,-345.96877271607997,31.192038329169073,-33.579627990722656,-0.3850504159927368,-0.23748062551021576,-0.21080943999925503,1.1265177726745605,0.8890371918678284,0.789190560000745,2.1629864357417783,2.740765801189048,0.5646980558672099,False,False,False,44.43639,-85.69868,2243.63,0.09941908717155457,0.04080166748422584
Model6PhysicalFix_B_soft_gate,8165300,-0.11957061290740967,0.0871376106122338,0.15912446810173586,-8.716146234465143,-59.88267834806698,-79.78500366210938,-0.11402082443237305,0.13401439785957336,0.6806025560410552,0.19690553843975067,0.33091995120048523,1.6806025560410551,11.174805966393382,6.649285666195381,0.7355444977533833,False,False,False,30.0641,-99.38699,435.99,0.07254047691822052,0.032967232080730775
Model6PhysicalFix_B_soft_gate,10244950,-0.09322547912597656,0.3277486487790088,0.6257078156464664,-56.26969748944107,-13.869306380011912,-10.844573020935059,-0.6112511157989502,-0.007237084209918976,-0.014774385127672627,0.4898374378681183,0.4826003909111023,0.9852256148723274,2.6799901463887132,2.7201791974708485,0.5383172247663074,False,False,False,39.20154,-114.68916,28.2,0.05366595461964607,0.04088026351376304
Model6PhysicalFix_B_soft_gate,4105700,-0.08469963073730469,0.40104562310289416,0.5524567437654778,-150.59657594623025,89.02308247568307,-6.302654266357422,-1.2177510261535645,-0.012911096215248108,-0.01273977728356335,1.0134557485580444,1.000544548034668,0.9872602227164367,2.731894246375235,2.767146965695425,0.537832952501049,False,False,False,42.35337,-85.35389,98.04,0.13237810134887695,0.0478131625590127
Model6PhysicalFix_B_soft_gate,7226500,-0.07296609878540039,-0.31804912514095096,0.04741884707094889,,-84.51338169267572,,-0.07296609878540039,0.005269499961286783,0.9566919701093044,0.005508041940629482,0.010777541436254978,1.9566919701093044,194.5725218233706,99.43952967387747,0.906709220011492,False,False,False,35.43838,-103.52579,5242.75,0.007371143437922001,0.00687790380946956
