aridity_class,snow_class,forest_class,baseflow_class,NSE_median,NSE_mean,KGE_median,KGE_mean,R2_median,R2_mean,low_flow_NSE_median,low_flow_NSE_mean,high_flow_NSE_median,high_flow_NSE_mean,logNSE_daily_aux_median,logNSE_daily_aux_mean,n_basins
humid,non_snow,non_forested,high_bfi,0.5273556113243103,0.5613139825207847,0.6512561004420754,0.6726871249992613,0.658039445890748,0.6368547510458024,-6.779735565185547,-6.513027565819876,0.441811740398407,0.4319508842059544,0.676018372816754,0.6781748088295182,7
humid,non_snow,non_forested,low_bfi,0.738876074552536,0.7151981194814047,0.7024700005204458,0.7183181230324266,0.7524328099216502,0.7271921664442543,-283.27032470703125,-308.31376242637634,0.6742383986711502,0.6629364863038063,0.6548359009705336,0.6735497294867493,6
humid,snow_dominated,forested,high_bfi,0.7833906263113022,0.7482704642415047,0.7902891271179864,0.752099294499429,0.7953091700236258,0.7752966790623097,-6.164158344268799,-32.672120509147646,0.622593492269516,0.5912007629871369,0.7543454640032674,0.672780124932855,25
humid,snow_dominated,forested,low_bfi,0.8293523192405701,0.8293523192405701,0.8094946682609347,0.8094946682609347,0.8365619844532343,0.8365619844532343,-7.223767280578613,-7.223767280578613,0.7468358278274536,0.7468358278274536,0.7970200303078698,0.7970200303078698,1
transitional,non_snow,forested,high_bfi,0.6566988229751587,0.5792540067008564,0.6728512947325564,0.6283266661485319,0.7254198980019895,0.713325291432368,-15.21161413192749,-48.384104267188484,0.5779978185892105,0.4646717550499099,0.6537761295488766,0.45919482951954027,70
transitional,non_snow,forested,low_bfi,0.6631796211004257,0.6465749014168978,0.5335319113671132,0.5121484718666438,0.7083696019150764,0.6949961289662235,-148.09525299072266,-2369.6715790884837,0.6381240487098694,0.609470761780228,0.5819544624957961,0.5513250860102341,56
transitional,non_snow,non_forested,high_bfi,0.37513926625251764,0.4252900605400403,0.573658798070761,0.4948608636970968,0.5599420551996275,0.5723210366449679,-20.757483959197998,-1766.8742190996807,0.2674959003925323,0.3221453229586283,0.49212895504363696,0.4129347450237022,12
transitional,non_snow,non_forested,low_bfi,0.6933894157409668,0.6661498057929909,0.5786152018147337,0.5372263008307898,0.7115162471605216,0.7016443686421665,-383.10552978515625,-102051.018539326,0.6569761633872986,0.6292465259047115,0.548649767917488,0.5179870266716315,68
transitional,snow_dominated,forested,high_bfi,0.7607884556055069,0.7394284095615149,0.7038918418560893,0.6623068336363118,0.8442120912061414,0.8077746100795624,-38.43601989746094,-87.94479793310165,0.6301587969064713,0.6334503754973412,0.7902200014922529,0.6689447551015466,20
transitional,snow_dominated,forested,low_bfi,0.7956534028053284,0.7684632291396459,0.8193845929902657,0.7320713001779554,0.8020660521805256,0.8027428587411566,-71.53953552246094,-133.6442718505859,0.68691486120224,0.6223434805870056,0.7968022606177824,0.7903436125823169,3
transitional,snow_dominated,non_forested,high_bfi,0.8871851935982704,0.8871851935982704,0.8708857673405361,0.8708857673405361,0.8901872021150499,0.8901872021150499,-73.18692016601562,-73.18692016601562,0.8067587018013,0.8067587018013,0.9015583964966146,0.9015583964966146,1
