model,basin_id,cumulative_precipitation_mm,mean_abs_daily_wb_residual_mm_day,max_abs_daily_wb_residual_mm_day,cumulative_relative_wb_error,external_loss_over_P
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6221400,8271.7236328125,0.000147559447214,0.0002366698172409,9.773999617097116e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6224000,7946.9306640625,0.0001512732560513,0.0002302094071637,0.0001042951328101,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6278300,10242.236328125,0.000141018492286,0.000228284872719,7.543668420920119e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6280300,10827.841796875,0.0001411176344845,0.0002305889647686,7.140698387667234e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6289000,9220.24609375,0.0001501294755144,0.0002323403023183,8.92122995770178e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6291500,8450.650390625,0.0001596206857357,0.0002298833278473,0.0001034904636472,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6311000,7653.30517578125,0.0001568693842273,0.0002278052852489,0.000112302767891,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6332515,6716.4306640625,0.0001828887616284,0.0002349454152863,0.0001491934613602,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6339100,6537.51953125,0.0001862233621068,0.0002475531655363,0.0001560710890445,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6339500,6416.71630859375,0.0001876292662927,0.0002485936856828,0.0001602097848986,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6344600,6493.37109375,0.0001879736664704,0.0002529742778278,0.0001586090935709,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6350000,6124.677734375,0.0001882627402665,0.0002347232075408,0.0001684156396068,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6352000,6226.70849609375,0.000187996920431,0.0002342072548344,0.0001654220907846,0.0
